"ID","SYMBOL"
"DS","DS1"
"DS","DS2"
"DS","DS3"
"DS","DS4"
"DS","DS5"
"DS","DS6"
"DS","DS7"
"DS","DS8"
"DS","DS9"
"DS","DS10"
"DS","DS11"
"DS","DS12"
"DS","DS13"
"DS","DS14"
"DS","DS15"
"DS","DS16"
"DS","DS17"
"DS","DS18"
"DS","DS19"
"DS","DS20"
"DS","DS21"
"DS","DS22"
"DS","DS23"
"DS","DS24"
"DS","DS25"
"DS","DS26"
"DS","DS27"
"DS","DS28"
"DS","DS29"
"DS","DS30"
"DS","DS31"
"DS","DS32"
"DS","DS33"
"DS","DS34"
"DS","DS35"
"DS","DS36"
"DS","DS37"
"DS","DS38"
"DS","DS39"
"DS","DS40"
"DS","DS41"
"DS","DS42"
"DS","DS43"
"DS","DS44"
"DS","DS45"
"DS","DS46"
"DS","DS47"
"DS","DS48"
"DS","DS49"
"DS","DS50"
"DS","DS51"
"DS","DS52"
"DS","DS53"
"DS","DS54"
"DS","DS55"
"DS","DS56"
"DS","DS57"
"DS","DS58"
"DS","DS59"
"HL","HL1"
"HL","HL2"
"HL","HL3"
"HL","HL4"
"HL","HL5"
"HL","HL6"
"HL","HL7"
"HL","HL8"
"HL","same1"
"HL","HL10"
"HL","HL11"
"RS","same2"
"RS","same3"
"RS","same4"
"RS","RS4"
"RS","same5"
"RS","RS6"
"RS","RS7"
"RS","RS8"
"RS","RS9"
"RS","RS10"
"RS","same6"
"RS","RS12"
"RS","RS13"
"RS","RS14"
"RS","RS15"
"RS","RS16"
"HQ","HQ1"
"HQ","HQ2"
"HQ","HQ3"
"HQ","HQ4"
"HQ","HQ5"
"HQ","HQ6"
"HQ","HQ7"
"HQ","HQ8"
"HQ","same7"
"HQ","HQ10"
"HQ","same5"
"HQ","HQ12"
"HQ","HQ13"
"HQ","HQ14"
"HQ","same1"
"GG","same7"
"GG","same4"
"GG","GG3"
"GG","GG4"
"SQ","SQ1"
"SQ","SQ2"
"SQ","same2"
"SQ","same4"
"SQ","same3"
"SQ","same6"
"SQ","same1"
"DS1","PTGS1"
"DS1","DRD1"
"DS1","CHRM3"
"DS1","SCNN1A"
"DS1","CHRM5"
"DS1","PTGS2"
"DS1","CHRM4"
"DS1","RXRA"
"DS1","OPRD1"
"DS1","PDE3A"
"DS1","HTR2A"
"DS1","ADRA1A"
"DS1","CHRM2"
"DS1","ADRA1B"
"DS1","SLC6A3"
"DS1","ADRB2"
"DS1","ADRA1D"
"DS1","TOP2A"
"DS1","SLC6A4"
"DS1","OPRM1"
"DS1","GABRA1"
"DS1","HSP90AA2P"
"DS1","CHRNA7"
"DS1","IGHG1"
"DS1","PNRC2"
"DS1","NCOA7"
"DS2","NR3C2"
"DS3","PNRC2"
"DS4","PTGS2"
"DS5","CHRM3"
"DS5","SCNN1A"
"DS5","CHRM5"
"DS5","PTGS2"
"DS5","CHRM4"
"DS5","OPRD1"
"DS5","ACHE"
"DS5","ADRA1A"
"DS5","CHRM2"
"DS5","ADRA1B"
"DS5","ADRB2"
"DS5","ADRA1D"
"DS5","DRD4"
"DS5","OPRM1"
"DS5","CHRNA7"
"DS6","CHRM4"
"DS6","OPRD1"
"DS6","ACHE"
"DS6","HTR2A"
"DS6","ADRA1A"
"DS6","ADRB2"
"DS6","OPRM1"
"DS6","GABRA1"
"DS6","CTSC"
"DS6","CHRNA7"
"DS6","NCOA7"
"DS7","F10"
"DS7","PTPN22"
"DS8","PTGS2"
"DS8","AKR1B1"
"DS8","HSP90AA2P"
"DS9","PTGS1"
"DS9","INSR"
"DS9","AR"
"DS9","PTGS2"
"DS9","MMP2"
"DS9","TNF"
"DS9","EGF"
"DS9","CTSC"
"DS9","HGF"
"DS9","IL36A"
"DS9","MMP1"
"DS9","MAP3K7"
"DS9","IFNG"
"DS9","JUN"
"DS9","HSP90AA2P"
"DS9","PIK3CG"
"DS9","XDH"
"DS9","CDK2"
"DS9","TP53"
"DS9","APP"
"DS9","PRKACA"
"DS9","TOP1"
