herb_zh,herb_en,gene
丹参,Danshen,A
丹参,Danshen,B
丹参,Danshen,Baicalin
丹参,Danshen,C09092
丹参,Danshen,Danshenol
丹参,Danshen,Dehydrotanshinone
丹参,Danshen,E
丹参,Danshen,II
丹参,Danshen,Isotanshinone
丹参,Danshen,Methylenetanshinquinone
丹参,Danshen,Miltirone
丹参,Danshen,Poriferasterol
丹参,Danshen,Przewaquinone
丹参,Danshen,Salvilenone
丹参,Danshen,Tanshindiol
丹参,Danshen,a
丹参,Danshen,acid
丹参,Danshen,b
丹参,Danshen,c
丹参,Danshen,cryptotanshinone
丹参,Danshen,d
丹参,Danshen,dan-shexinkum
丹参,Danshen,danshenspiroketallactone
丹参,Danshen,deoxyneocryptotanshinone
丹参,Danshen,digallate
丹参,Danshen,dihydrotanshinlactone
丹参,Danshen,dihydrotanshinoneⅠ
丹参,Danshen,epidanshenspiroketallactone
丹参,Danshen,f
丹参,Danshen,formyltanshinone
丹参,Danshen,g
丹参,Danshen,ii
丹参,Danshen,iia
丹参,Danshen,isocryptotanshi-none
丹参,Danshen,isoimperatorin
丹参,Danshen,j
丹参,Danshen,luteolin
丹参,Danshen,manool
丹参,Danshen,miltionone
丹参,Danshen,miltipolone
丹参,Danshen,neocryptotanshinone
丹参,Danshen,poriferast-5-en-3beta-ol
丹参,Danshen,prolithospermic
丹参,Danshen,przewalskin
丹参,Danshen,przewaquinone
丹参,Danshen,salvianolic
丹参,Danshen,salvilenone
丹参,Danshen,salviolone
丹参,Danshen,sclareol
丹参,Danshen,sugiol
丹参,Danshen,tanshinaldehyde
丹参,Danshen,tanshinone
